month,component_id,forecast_units
2024-03,C0232,2812
2024-03,C0233,1244
2024-03,C0234,2837
2024-03,C0235,1898
2024-03,C0236,854
2024-03,C0237,2383
2024-03,C0238,1365
2024-03,C0239,940
2024-03,C0240,2561
2024-04,C0001,313
2024-04,C0002,462
2024-04,C0003,438
2024-04,C0004,228
2024-04,C0005,350
2024-04,C0006,341
2024-04,C0007,394
2024-04,C0008,308
2024-04,C0009,286
2024-04,C0010,152
2024-04,C0011,419
2024-04,C0012,317
2024-04,C0013,424
2024-04,C0014,20243
2024-04,C0015,22979
2024-04,C0016,31882
2024-04,C0017,18552
2024-04,C0018,29560
2024-04,C0019,22400
2024-04,C0020,32581
2024-04,C0021,19407
2024-04,C0022,14738
2024-04,C0023,33890
2024-04,C0024,12809
2024-04,C0025,9278
2024-04,C0026,22716
2024-04,C0027,20299
2024-04,C0028,13189
2024-04,C0029,8705
2024-04,C0030,15413
2024-04,C0031,23724
2024-04,C0032,14071
2024-04,C0033,16433
2024-04,C0034,31690
2024-04,C0035,23390
2024-04,C0036,12479
2024-04,C0037,26804
2024-04,C0038,30107
2024-04,C0039,16883
2024-04,C0040,25147
2024-04,C0041,19312
2024-04,C0042,27128
2024-04,C0043,30529
2024-04,C0044,34267
2024-04,C0045,44839
2024-04,C0046,41176
2024-04,C0047,44918
2024-04,C0048,90259
2024-04,C0049,56541
2024-04,C0050,59786
2024-04,C0051,118847
2024-04,C0052,92020
2024-04,C0053,83014
2024-04,C0054,94522
2024-04,C0055,73567
2024-04,C0056,44018
2024-04,C0057,64091
2024-04,C0058,78489
2024-04,C0059,48084
2024-04,C0060,62075
2024-04,C0061,55820
2024-04,C0062,48300
2024-04,C0063,62266
2024-04,C0064,49139
2024-04,C0065,54779
2024-04,C0066,56071
2024-04,C0067,43624
2024-04,C0068,44959
2024-04,C0069,36521
2024-04,C0070,30182
2024-04,C0071,57578
2024-04,C0072,47169
2024-04,C0073,26107
2024-04,C0074,57681
2024-04,C0075,47341
2024-04,C0076,70412
2024-04,C0077,17481
2024-04,C0078,49050
2024-04,C0079,37087
2024-04,C0080,33690
2024-04,C0081,45720
2024-04,C0082,58960
2024-04,C0083,21301
2024-04,C0084,64317
2024-04,C0085,42143
2024-04,C0086,28794
2024-04,C0087,52907
2024-04,C0088,32149
2024-04,C0089,66909
2024-04,C0090,52986
2024-04,C0091,87624
2024-04,C0092,5838
2024-04,C0093,14844
2024-04,C0094,23903
2024-04,C0095,24559
2024-04,C0096,14270
2024-04,C0097,13891
2024-04,C0098,20834
2024-04,C0099,10381
2024-04,C0100,21812
2024-04,C0101,15160
2024-04,C0102,25768
2024-04,C0103,13348
2024-04,C0104,14990
2024-04,C0105,11159
2024-04,C0106,10008
2024-04,C0107,10236
2024-04,C0108,29383
2024-04,C0109,19619
2024-04,C0110,13135
2024-04,C0111,29039
2024-04,C0112,22501
2024-04,C0113,32220
2024-04,C0114,18623
2024-04,C0115,8543
2024-04,C0116,7863
2024-04,C0117,17140
2024-04,C0118,14727
2024-04,C0119,11918
2024-04,C0120,16205
2024-04,C0121,16196
2024-04,C0122,10316
2024-04,C0123,10041
2024-04,C0124,16795
2024-04,C0125,14796
2024-04,C0126,20931
2024-04,C0127,9123
2024-04,C0128,22488
2024-04,C0129,17103
2024-04,C0130,18294
2024-04,C0131,6664
2024-04,C0132,7439
2024-04,C0133,13348
2024-04,C0134,11579
2024-04,C0135,11907
2024-04,C0136,18404
2024-04,C0137,12523
2024-04,C0138,15162
2024-04,C0139,11026
2024-04,C0140,13374
2024-04,C0141,8701
2024-04,C0142,8435
2024-04,C0143,8069
2024-04,C0144,7965
2024-04,C0145,13934
2024-04,C0146,11562
2024-04,C0147,9801
2024-04,C0148,12986
2024-04,C0149,3458
2024-04,C0150,155666
2024-04,C0151,151588
2024-04,C0152,189411
2024-04,C0153,102709
2024-04,C0154,121719
2024-04,C0155,62975
2024-04,C0156,233947
2024-04,C0157,190011
2024-04,C0158,128555
2024-04,C0159,207869
2024-04,C0160,79445
2024-04,C0161,87660
2024-04,C0162,123916
2024-04,C0163,85308
2024-04,C0164,160117
2024-04,C0165,175199
2024-04,C0166,84610
2024-04,C0167,80616
2024-04,C0168,139473
2024-04,C0169,120810
2024-04,C0170,75332
2024-04,C0171,111080
2024-04,C0172,162190
2024-04,C0173,119232
2024-04,C0174,91751
2024-04,C0175,57
2024-04,C0176,70
2024-04,C0177,52
2024-04,C0178,46
2024-04,C0179,71
2024-04,C0180,322
2024-04,C0181,447
2024-04,C0182,753
2024-04,C0183,186
2024-04,C0184,536
2024-04,C0185,456
2024-04,C0186,451
2024-04,C0187,519
2024-04,C0188,542
2024-04,C0189,380
2024-04,C0190,425
2024-04,C0191,348
2024-04,C0192,536
2024-04,C0193,85126
2024-04,C0194,112366
2024-04,C0195,42531
2024-04,C0196,82613
2024-04,C0197,38894
2024-04,C0198,172344
2024-04,C0199,53329
2024-04,C0200,59738
2024-04,C0201,71334
2024-04,C0202,47327
2024-04,C0203,124609
2024-04,C0204,83448
2024-04,C0205,60602
2024-04,C0206,78366
2024-04,C0207,123299
2024-04,C0208,67285
2024-04,C0209,111142
2024-04,C0210,103628
2024-04,C0211,110681
2024-04,C0212,45708
2024-04,C0213,87549
2024-04,C0214,79642
2024-04,C0215,46989
2024-04,C0216,120864
2024-04,C0217,148413
2024-04,C0218,102515
2024-04,C0219,50779
2024-04,C0220,115079
2024-04,C0221,71879
2024-04,C0222,83117
2024-04,C0223,1237
2024-04,C0224,779
2024-04,C0225,1957
2024-04,C0226,754
2024-04,C0227,1296
2024-04,C0228,1343
2024-04,C0229,774
2024-04,C0230,1544
2024-04,C0231,2073
2024-04,C0232,3191
2024-04,C0233,2501
2024-04,C0234,1867
2024-04,C0235,1315
2024-04,C0236,737
2024-04,C0237,1993
2024-04,C0238,1735
2024-04,C0239,1838
2024-04,C0240,2299
2024-05,C0001,325
2024-05,C0002,426
2024-05,C0003,268
2024-05,C0004,218
2024-05,C0005,289
2024-05,C0006,175
2024-05,C0007,416
2024-05,C0008,265
2024-05,C0009,367
2024-05,C0010,165
2024-05,C0011,492
2024-05,C0012,330
2024-05,C0013,451
2024-05,C0014,15780
2024-05,C0015,19934
2024-05,C0016,26404
2024-05,C0017,27369
2024-05,C0018,25403
2024-05,C0019,29234
2024-05,C0020,28667
2024-05,C0021,12562
2024-05,C0022,10823
2024-05,C0023,34657
2024-05,C0024,24418
2024-05,C0025,8715
2024-05,C0026,15101
2024-05,C0027,22139
2024-05,C0028,20168
2024-05,C0029,14632
2024-05,C0030,28853
2024-05,C0031,27981
2024-05,C0032,25697
2024-05,C0033,13680
2024-05,C0034,35516
2024-05,C0035,27086
2024-05,C0036,29477
2024-05,C0037,21964
2024-05,C0038,26448
2024-05,C0039,17732
2024-05,C0040,20711
2024-05,C0041,19464
2024-05,C0042,23840
2024-05,C0043,21739
2024-05,C0044,56479
2024-05,C0045,48214
2024-05,C0046,71157
2024-05,C0047,41852
2024-05,C0048,88077
2024-05,C0049,67109
2024-05,C0050,67305
2024-05,C0051,82194
2024-05,C0052,91210
2024-05,C0053,83794
2024-05,C0054,102803
2024-05,C0055,83368
2024-05,C0056,48824
2024-05,C0057,70532
2024-05,C0058,79837
2024-05,C0059,47105
2024-05,C0060,46687
2024-05,C0061,45856
2024-05,C0062,68265
2024-05,C0063,55371
2024-05,C0064,62789
2024-05,C0065,90405
2024-05,C0066,65830
2024-05,C0067,96459
2024-05,C0068,51776
2024-05,C0069,77870
2024-05,C0070,36794
2024-05,C0071,82627
2024-05,C0072,35400
2024-05,C0073,57866
2024-05,C0074,31627
2024-05,C0075,81018
2024-05,C0076,85395
2024-05,C0077,15970
2024-05,C0078,69234
2024-05,C0079,64209
2024-05,C0080,42661
2024-05,C0081,41338
2024-05,C0082,39715
2024-05,C0083,20774
2024-05,C0084,52301
2024-05,C0085,49333
2024-05,C0086,27706
2024-05,C0087,39998
2024-05,C0088,34520
2024-05,C0089,49326
2024-05,C0090,48851
2024-05,C0091,94976
2024-05,C0092,10681
2024-05,C0093,15116
2024-05,C0094,13790
2024-05,C0095,15688
2024-05,C0096,14836
2024-05,C0097,15802
2024-05,C0098,12852
2024-05,C0099,21405
2024-05,C0100,17553
2024-05,C0101,18079
2024-05,C0102,26489
2024-05,C0103,21381
2024-05,C0104,19979
2024-05,C0105,23774
2024-05,C0106,17660
2024-05,C0107,16696
2024-05,C0108,16551
2024-05,C0109,14903
2024-05,C0110,7092
2024-05,C0111,22332
2024-05,C0112,21135
2024-05,C0113,15414
2024-05,C0114,13260
2024-05,C0115,9490
2024-05,C0116,6699
2024-05,C0117,17677
2024-05,C0118,27724
2024-05,C0119,13182
2024-05,C0120,13652
2024-05,C0121,14086
2024-05,C0122,11299
2024-05,C0123,16338
2024-05,C0124,12577
2024-05,C0125,22457
2024-05,C0126,17410
2024-05,C0127,14619
2024-05,C0128,21108
2024-05,C0129,13019
2024-05,C0130,14376
2024-05,C0131,8577
2024-05,C0132,6595
2024-05,C0133,19895
2024-05,C0134,13797
2024-05,C0135,16382
2024-05,C0136,12874
2024-05,C0137,17084
2024-05,C0138,14954
2024-05,C0139,12093
2024-05,C0140,10321
2024-05,C0141,9379
2024-05,C0142,11013
2024-05,C0143,6926
2024-05,C0144,12719
2024-05,C0145,11635
2024-05,C0146,10462
2024-05,C0147,14604
2024-05,C0148,14053
2024-05,C0149,5050
2024-05,C0150,74158
2024-05,C0151,151777
2024-05,C0152,101771
2024-05,C0153,103343
2024-05,C0154,124961
2024-05,C0155,77436
2024-05,C0156,220009
2024-05,C0157,146097
2024-05,C0158,183167
2024-05,C0159,189491
2024-05,C0160,93806
2024-05,C0161,156196
2024-05,C0162,158460
2024-05,C0163,127424
2024-05,C0164,148685
2024-05,C0165,116290
2024-05,C0166,140407
2024-05,C0167,96385
2024-05,C0168,115432
2024-05,C0169,126457
2024-05,C0170,96076
2024-05,C0171,112456
2024-05,C0172,92184
2024-05,C0173,92521
2024-05,C0174,164231
2024-05,C0175,68
2024-05,C0176,68
2024-05,C0177,68
2024-05,C0178,73
2024-05,C0179,74
2024-05,C0180,613
2024-05,C0181,487
2024-05,C0182,620
2024-05,C0183,409
2024-05,C0184,588
2024-05,C0185,491
2024-05,C0186,482
2024-05,C0187,514
2024-05,C0188,366
2024-05,C0189,559
2024-05,C0190,509
2024-05,C0191,453
2024-05,C0192,238
2024-05,C0193,139037
2024-05,C0194,107061
2024-05,C0195,87713
2024-05,C0196,78565
2024-05,C0197,59378
2024-05,C0198,190845
2024-05,C0199,72373
2024-05,C0200,125926
2024-05,C0201,128945
2024-05,C0202,70607
2024-05,C0203,91650
2024-05,C0204,80382
2024-05,C0205,60387
2024-05,C0206,63275
2024-05,C0207,97496
2024-05,C0208,124273
2024-05,C0209,63424
2024-05,C0210,113077
2024-05,C0211,89609
2024-05,C0212,87871
2024-05,C0213,146235
2024-05,C0214,48048
2024-05,C0215,64063
2024-05,C0216,59934
2024-05,C0217,151437
2024-05,C0218,97478
2024-05,C0219,67997
2024-05,C0220,111163
2024-05,C0221,69923
2024-05,C0222,111431
2024-05,C0223,1174
2024-05,C0224,993
2024-05,C0225,2164
2024-05,C0226,1739
2024-05,C0227,1100
2024-05,C0228,1309
2024-05,C0229,1116
2024-05,C0230,1009
2024-05,C0231,1901
2024-05,C0232,2034
2024-05,C0233,1220
2024-05,C0234,3135
2024-05,C0235,1763
2024-05,C0236,1051
2024-05,C0237,2102
2024-05,C0238,1985
2024-05,C0239,1583
2024-05,C0240,2233
2024-06,C0001,177
2024-06,C0002,236
2024-06,C0003,338
2024-06,C0004,168
2024-06,C0005,349
2024-06,C0006,325
2024-06,C0007,396
2024-06,C0008,227
2024-06,C0009,184
2024-06,C0010,197
2024-06,C0011,250
2024-06,C0012,296
2024-06,C0013,227
2024-06,C0014,21373
2024-06,C0015,16134
2024-06,C0016,27747
2024-06,C0017,23985
2024-06,C0018,19927
2024-06,C0019,19563
2024-06,C0020,24363
2024-06,C0021,13399
2024-06,C0022,10372
2024-06,C0023,25516
2024-06,C0024,19857
2024-06,C0025,7396
2024-06,C0026,15118
2024-06,C0027,21591
2024-06,C0028,11156
2024-06,C0029,16653
2024-06,C0030,13692
2024-06,C0031,35663
2024-06,C0032,13238
2024-06,C0033,22243
2024-06,C0034,26728
2024-06,C0035,25330
2024-06,C0036,24542
2024-06,C0037,29452
2024-06,C0038,20707
2024-06,C0039,28885
2024-06,C0040,19634
2024-06,C0041,26708
2024-06,C0042,31054
2024-06,C0043,28939
2024-06,C0044,50248
2024-06,C0045,64320
2024-06,C0046,38660
2024-06,C0047,24891
2024-06,C0048,50301
2024-06,C0049,85434
2024-06,C0050,34041
2024-06,C0051,64578
2024-06,C0052,56319
2024-06,C0053,99328
2024-06,C0054,65082
2024-06,C0055,86267
2024-06,C0056,31320
2024-06,C0057,99095
2024-06,C0058,76222
2024-06,C0059,41033
2024-06,C0060,92713
2024-06,C0061,53224
2024-06,C0062,74448
2024-06,C0063,49868
2024-06,C0064,95839
2024-06,C0065,83650
2024-06,C0066,67246
2024-06,C0067,58384
2024-06,C0068,47674
2024-06,C0069,35462
2024-06,C0070,50343
2024-06,C0071,39199
2024-06,C0072,71133
2024-06,C0073,33355
2024-06,C0074,63615
2024-06,C0075,71875
2024-06,C0076,49734
2024-06,C0077,19100
2024-06,C0078,79124
2024-06,C0079,62746
2024-06,C0080,28097
2024-06,C0081,29991
2024-06,C0082,49091
2024-06,C0083,19347
2024-06,C0084,49615
2024-06,C0085,37096
2024-06,C0086,19109
2024-06,C0087,31517
2024-06,C0088,37222
2024-06,C0089,65055
2024-06,C0090,54814
2024-06,C0091,78003
2024-06,C0092,7066
2024-06,C0093,8844
2024-06,C0094,22107
2024-06,C0095,28613
2024-06,C0096,19392
2024-06,C0097,16155
2024-06,C0098,11199
2024-06,C0099,10427
2024-06,C0100,11092
2024-06,C0101,10035
2024-06,C0102,13327
2024-06,C0103,12311
2024-06,C0104,17709
2024-06,C0105,13710
2024-06,C0106,8797
2024-06,C0107,18329
2024-06,C0108,23258
2024-06,C0109,22170
2024-06,C0110,14174
2024-06,C0111,16017
2024-06,C0112,13105
2024-06,C0113,14236
2024-06,C0114,17250
2024-06,C0115,14479
2024-06,C0116,10550
2024-06,C0117,11488
2024-06,C0118,22804
2024-06,C0119,15445
2024-06,C0120,9841
2024-06,C0121,14511
2024-06,C0122,6747
2024-06,C0123,9623
2024-06,C0124,12340
2024-06,C0125,13669
2024-06,C0126,12893
2024-06,C0127,9736
2024-06,C0128,23017
2024-06,C0129,8561
2024-06,C0130,11979
2024-06,C0131,8614
2024-06,C0132,9957
2024-06,C0133,15123
2024-06,C0134,11232
2024-06,C0135,15863
2024-06,C0136,18283
2024-06,C0137,11262
2024-06,C0138,14467
2024-06,C0139,14951
2024-06,C0140,12240
2024-06,C0141,12289
2024-06,C0142,11264
2024-06,C0143,13207
2024-06,C0144,5857
2024-06,C0145,8414
2024-06,C0146,10088
2024-06,C0147,12071
2024-06,C0148,14003
2024-06,C0149,4574
2024-06,C0150,138616
2024-06,C0151,111305
2024-06,C0152,131285
2024-06,C0153,144391
2024-06,C0154,78276
2024-06,C0155,102447
2024-06,C0156,106882
2024-06,C0157,118848
2024-06,C0158,133934
2024-06,C0159,206022
2024-06,C0160,137417
2024-06,C0161,99328
2024-06,C0162,129335
2024-06,C0163,81554
2024-06,C0164,138583
2024-06,C0165,147298
2024-06,C0166,138859
2024-06,C0167,93344
2024-06,C0168,136865
2024-06,C0169,122037
2024-06,C0170,121084
2024-06,C0171,111090
2024-06,C0172,84941
2024-06,C0173,183011
2024-06,C0174,90489
2024-06,C0175,49
2024-06,C0176,75
2024-06,C0177,60
2024-06,C0178,75
2024-06,C0179,72
2024-06,C0180,369
2024-06,C0181,448
2024-06,C0182,366
2024-06,C0183,367
2024-06,C0184,511
2024-06,C0185,256
2024-06,C0186,319
2024-06,C0187,481
2024-06,C0188,216
2024-06,C0189,461
2024-06,C0190,528
2024-06,C0191,468
2024-06,C0192,402
2024-06,C0193,142649
2024-06,C0194,110508
2024-06,C0195,74093
2024-06,C0196,110078
2024-06,C0197,42126
2024-06,C0198,115464
2024-06,C0199,37237
2024-06,C0200,66948
2024-06,C0201,59580
2024-06,C0202,37249
2024-06,C0203,104068
2024-06,C0204,124388
2024-06,C0205,62871
2024-06,C0206,102435
2024-06,C0207,131040
2024-06,C0208,71115
2024-06,C0209,69815
2024-06,C0210,88918
2024-06,C0211,91460
2024-06,C0212,66299
2024-06,C0213,100617
2024-06,C0214,98228
2024-06,C0215,42530
2024-06,C0216,100699
2024-06,C0217,159631
2024-06,C0218,71253
2024-06,C0219,55848
