delivery_id,supplier_id,component_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,delivery_status
D0007464,S012,C0172,2024-02-20,2024-03-27,2024-03-28,15672,11754,Delayed
D0000343,S009,C0016,2024-02-20,2024-03-25,2024-03-26,4276,4053,Delayed
D0008251,S009,C0202,2024-02-20,2024-03-21,2024-03-22,20554,20554,Delayed
D0008337,S002,C0204,2024-02-20,2024-03-16,2024-03-16,11103,11103,On-Time
D0008714,S011,C0213,2024-02-20,2024-03-14,2024-03-14,7456,7456,On-Time
D0005731,S012,C0135,2024-02-20,2024-04-11,2024-04-12,2163,2163,Delayed
D0003447,S012,C0076,2024-02-20,2024-04-02,2024-04-03,7503,7503,Delayed
D0000001,S007,C0001,2024-02-20,2024-05-05,2024-05-05,41,41,On-Time
D0002614,S011,C0060,2024-02-20,2024-03-15,2024-03-16,4772,4772,Delayed
D0001530,S010,C0040,2024-02-20,2024-04-12,2024-04-13,2145,2145,Delayed
D0001857,S005,C0046,2024-02-20,2024-03-30,2024-03-30,6999,6999,On-Time
D0009476,S012,C0235,2024-02-20,2024-04-01,2024-04-04,194,194,Delayed
D0001333,S017,C0036,2024-02-20,2024-03-28,2024-03-28,5102,5102,On-Time
D0002065,S009,C0050,2024-02-20,2024-03-12,2024-03-14,14809,14809,Delayed
D0002722,S012,C0062,2024-02-20,2024-03-12,2024-04-01,23292,23292,Delayed
D0009278,S003,C0228,2024-02-21,2024-04-15,2024-04-18,255,255,Delayed
D0001238,S018,C0034,2024-02-21,2024-03-26,,2103,2103,Unknown
D0005538,S004,C0129,2024-02-21,2024-04-13,2024-04-13,2543,2543,On-Time
D0000650,S002,C0022,2024-02-21,2024-03-26,2024-03-26,3064,3064,On-Time
D0000550,S011,C0020,2024-02-21,2024-04-17,2024-04-17,3094,3094,On-Time
D0002341,S017,C0055,2024-02-21,2024-03-29,2024-03-29,20427,20427,On-Time
D0006682,S011,C0158,2024-02-21,2024-03-23,2024-03-23,13875,13875,On-Time
D0006897,S007,C0162,2024-02-21,2024-03-22,2024-03-22,11274,11274,On-Time
D0002830,S003,C0064,2024-02-21,2024-03-18,2024-03-19,9399,8499,Delayed
D0004366,S007,C0096,2024-02-21,2024-03-31,2024-03-31,1571,1571,On-Time
D0007291,S002,C0169,2024-02-21,2024-03-17,2024-03-17,12291,12291,On-Time
D0007746,S003,C0186,2024-02-21,2024-04-14,,144,144,Unknown
D0007796,S017,C0189,2024-02-21,2024-04-05,2024-04-05,101,101,On-Time
D0007813,S008,C0190,2024-02-21,2024-04-21,2024-04-21,97,97,On-Time
D0008170,S018,C0200,2024-02-21,2024-03-11,2024-03-11,23278,23278,On-Time
D0000239,S007,C0014,2024-02-21,2024-03-23,2024-03-23,2374,2374,On-Time
D0008498,S013,C0208,2024-02-21,2024-03-08,2024-03-09,13530,13530,Delayed
D0002230,S005,C0053,2024-02-21,2024-03-13,2024-03-13,20380,20380,On-Time
D0007234,S012,C0168,2024-02-21,2024-03-22,2024-03-23,16020,16020,Delayed
D0006531,S016,C0155,2024-02-21,2024-03-18,2024-03-19,12386,12386,Delayed
D0003258,S009,C0072,2024-02-21,2024-04-12,2024-04-13,14563,14563,Delayed
D0003847,S002,C0084,2024-02-21,2024-04-12,2024-04-12,13150,13150,On-Time
D0003699,S019,C0081,2024-02-21,2024-03-22,2024-03-22,5911,5911,On-Time
D0003356,S012,C0074,2024-02-21,2024-04-05,2024-04-06,6270,6270,Delayed
D0003067,S018,C0068,2024-02-21,2024-03-18,2024-03-18,24981,24981,On-Time
D0002776,S012,C0063,2024-02-22,2024-03-23,2024-03-28,6056,6056,Delayed
D0000043,S018,C0003,2024-02-22,2024-05-14,2024-05-14,37,37,On-Time
D0003649,S001,C0080,2024-02-22,2024-04-07,,7135,7135,Unknown
D0007842,S018,C0192,2024-02-22,2024-04-14,2024-04-14,63,63,On-Time
D0006023,S010,C0143,2024-02-22,2024-04-22,2024-04-22,1426,1426,On-Time
D0006842,S020,C0161,2024-02-22,2024-03-14,2024-03-14,53575,53575,On-Time
D0006635,S004,C0157,2024-02-22,2024-03-22,2024-03-24,11948,11948,Delayed
D0001185,S006,C0033,2024-02-22,2024-04-01,2024-04-01,5412,5412,On-Time
D0006363,S001,C0152,2024-02-22,2024-03-12,2024-03-12,10833,10833,On-Time
D0006054,S016,C0144,2024-02-22,2024-04-09,2024-04-10,1828,1828,Delayed
D0008892,S009,C0217,2024-02-22,2024-03-28,2024-03-30,23119,23119,Delayed
D0001589,S017,C0041,2024-02-22,2024-04-05,2024-04-05,7791,7791,On-Time
D0008373,S005,C0205,2024-02-22,2024-03-24,2024-03-25,18639,18639,Delayed
D0002120,S013,C0051,2024-02-22,2024-03-15,2024-03-15,12662,12662,On-Time
D0009140,S007,C0223,2024-02-22,2024-04-21,2024-04-21,250,250,On-Time
D0000395,S018,C0017,2024-02-22,2024-03-23,2024-03-23,5129,5129,On-Time
D0004173,S006,C0091,2024-02-22,2024-03-16,,13047,13047,Unknown
D0008586,S004,C0210,2024-02-22,2024-03-21,2024-03-21,13078,13078,On-Time
D0004627,S015,C0103,2024-02-22,2024-03-31,2024-03-31,1765,1765,On-Time
D0004078,S009,C0089,2024-02-22,2024-03-24,2024-03-25,11901,11901,Delayed
D0003008,S007,C0067,2024-02-22,2024-03-19,2024-03-19,22295,22295,On-Time
D0004512,S004,C0100,2024-02-22,2024-04-03,2024-04-03,6328,6328,On-Time
D0000751,S004,C0024,2024-02-22,2024-03-26,2024-03-27,7452,7452,Delayed
D0002560,S012,C0059,2024-02-22,2024-04-03,2024-04-03,12902,12902,On-Time
D0000025,S009,C0002,2024-02-22,2024-04-14,2024-04-15,35,35,Delayed
D0001488,S005,C0039,2024-02-22,2024-03-31,2024-03-31,1939,1939,On-Time
D0005336,S018,C0123,2024-02-22,2024-03-22,2024-03-22,1080,1080,On-Time
D0002400,S011,C0056,2024-02-23,2024-03-29,2024-03-29,18132,18132,On-Time
D0001041,S015,C0030,2024-02-23,2024-03-31,2024-03-31,3155,3155,On-Time
D0004552,S010,C0101,2024-02-23,2024-04-19,2024-04-19,3461,3461,On-Time
D0001286,S006,C0035,2024-02-23,2024-03-31,2024-03-31,2738,2738,On-Time
D0000117,S017,C0007,2024-02-23,2024-04-05,,45,45,Unknown
D0000899,S003,C0027,2024-02-23,2024-04-14,2024-04-17,2373,2373,Delayed
D0001379,S004,C0037,2024-02-23,2024-04-16,2024-04-17,8278,8278,Delayed
D0003558,S017,C0078,2024-02-23,2024-04-14,2024-04-15,2412,2412,Delayed
D0004401,S003,C0097,2024-02-23,2024-04-06,2024-04-07,2325,2325,Delayed
D0009563,S008,C0238,2024-02-23,2024-04-06,2024-04-08,253,253,Delayed
D0007993,S010,C0196,2024-02-23,2024-03-26,2024-03-26,20262,20262,On-Time
D0005201,S002,C0119,2024-02-23,2024-04-22,2024-04-23,2153,2153,Delayed
D0008215,S006,C0201,2024-02-23,2024-03-10,2024-03-11,8820,8820,Delayed
D0005670,S004,C0133,2024-02-23,2024-03-19,2024-03-19,1160,1160,On-Time
D0005916,S008,C0140,2024-02-23,2024-04-06,2024-04-06,2440,2440,On-Time
D0008628,S010,C0211,2024-02-23,2024-03-22,2024-03-22,15025,15025,On-Time
D0001638,S014,C0042,2024-02-23,2024-03-23,2024-03-25,2975,2975,Delayed
D0006227,S011,C0149,2024-02-23,2024-03-26,2024-03-27,1578,1578,Delayed
D0008457,S016,C0207,2024-02-23,2024-03-12,2024-03-12,14495,14495,On-Time
D0006309,S012,C0151,2024-02-23,2024-03-29,2024-03-30,16976,16976,Delayed
D0001962,S009,C0048,2024-02-23,2024-04-18,2024-04-18,7082,7082,On-Time
D0003750,S012,C0082,2024-02-23,2024-04-12,,4889,4889,Unknown
D0002663,S019,C0061,2024-02-23,2024-04-04,2024-04-04,18835,18835,On-Time
D0006585,S003,C0156,2024-02-23,2024-03-15,2024-03-18,24792,24792,Delayed
D0004126,S009,C0090,2024-02-23,2024-03-14,2024-03-16,10251,10251,Delayed
D0002282,S004,C0054,2024-02-23,2024-03-29,2024-03-29,28302,28302,On-Time
D0001137,S016,C0032,2024-02-23,2024-03-21,2024-03-21,4996,3867,Partial
D0005605,S019,C0131,2024-02-23,2024-03-31,2024-03-31,1938,1938,On-Time
D0001695,S005,C0043,2024-02-26,2024-04-08,2024-04-08,6174,5764,Partial
D0009422,S019,C0233,2024-02-26,2024-04-06,2024-04-06,251,251,On-Time
D0008545,S002,C0209,2024-02-26,2024-03-16,2024-03-16,10675,10675,On-Time
D0001334,S013,C0036,2024-02-26,2024-04-05,,5710,5710,Unknown
D0000285,S019,C0015,2024-02-26,2024-04-05,,3309,3309,Unknown
D0000206,S010,C0012,2024-02-26,2024-04-15,2024-04-15,68,68,On-Time
D0006958,S004,C0163,2024-02-26,2024-03-27,2024-03-27,20648,20648,On-Time
D0008978,S011,C0219,2024-02-26,2024-03-31,2024-03-31,19711,19711,On-Time
D0000396,S015,C0017,2024-02-26,2024-03-25,2024-03-25,5914,5914,On-Time
D0006024,S012,C0143,2024-02-26,2024-05-02,2024-05-03,1130,1130,Delayed
D0000090,S008,C0006,2024-02-26,2024-04-16,2024-04-17,69,69,Delayed
D0002231,S012,C0053,2024-02-26,2024-03-19,2024-03-19,10625,10625,On-Time
D0005840,S013,C0138,2024-02-26,2024-04-03,2024-04-04,2665,2665,Delayed
D0004330,S011,C0095,2024-02-26,2024-03-30,2024-03-31,4897,4897,Delayed
D0002342,S004,C0055,2024-02-26,2024-04-03,2024-04-04,24085,24085,Delayed
D0006091,S011,C0145,2024-02-26,2024-04-22,2024-04-23,2406,2406,Delayed
D0007120,S013,C0166,2024-02-26,2024-03-30,2024-03-30,27207,27207,On-Time
D0005671,S020,C0133,2024-02-26,2024-03-23,2024-03-23,1424,1424,On-Time
D0005435,S007,C0126,2024-02-26,2024-04-14,2024-04-14,6431,6431,On-Time
D0003448,S010,C0076,2024-02-26,2024-04-08,2024-04-08,5221,5221,On-Time
D0005766,S003,C0136,2024-02-26,2024-04-13,2024-04-14,2503,2503,Delayed
D0005373,S001,C0124,2024-02-27,2024-04-10,2024-04-10,2586,2586,On-Time
D0004553,S006,C0101,2024-02-27,2024-04-20,2024-04-20,3638,3638,On-Time
D0001531,S010,C0040,2024-02-27,2024-04-18,2024-04-18,3972,3972,On-Time
D0002561,S009,C0059,2024-02-27,2024-04-07,2024-04-09,22763,22763,Delayed
D0008252,S001,C0202,2024-02-27,2024-03-27,2024-03-27,9625,9625,On-Time
D0007403,S005,C0171,2024-02-27,2024-04-05,2024-04-06,54864,54864,Delayed
D0008171,S004,C0200,2024-02-27,2024-03-18,2024-03-18,15670,15670,On-Time
D0003123,S018,C0069,2024-02-27,2024-04-06,2024-04-06,5880,5880,On-Time
D0006843,S007,C0161,2024-02-27,2024-03-16,2024-03-16,7308,7308,On-Time
D0000500,S011,C0019,2024-02-27,2024-04-09,2024-04-09,5093,5093,On-Time
D0006898,S005,C0162,2024-02-27,2024-03-28,2024-03-28,14903,14903,On-Time
D0007015,S001,C0164,2024-02-27,2024-04-10,2024-04-10,14336,14336,On-Time
D0007763,S002,C0187,2024-02-27,2024-04-15,2024-04-15,47,47,On-Time
D0000451,S011,C0018,2024-02-27,2024-03-31,2024-03-31,3844,3844,On-Time
D0002066,S019,C0050,2024-02-27,2024-03-18,2024-03-18,7823,7823,On-Time
D0007292,S010,C0169,2024-02-27,2024-03-23,2024-03-23,15699,15699,On-Time
D0000344,S018,C0016,2024-02-27,2024-04-01,2024-04-06,2847,2847,Delayed
D0002664,S019,C0061,2024-02-27,2024-04-13,2024-04-13,14430,14430,On-Time
D0004253,S009,C0093,2024-02-27,2024-04-06,2024-04-08,4341,4341,Delayed
D0001433,S017,C0038,2024-02-27,2024-03-30,2024-03-30,3292,3292,On-Time
D0008804,S004,C0215,2024-02-27,2024-03-14,2024-03-15,14922,14922,Delayed
D0009224,S010,C0226,2024-02-27,2024-04-26,2024-04-26,260,260,On-Time
D0002121,S016,C0051,2024-02-28,2024-03-20,2024-04-08,8604,8604,Delayed
D0001095,S010,C0031,2024-02-28,2024-04-10,2024-04-11,5366,5366,Delayed
D0007684,S016,C0182,2024-02-28,2024-04-11,2024-04-13,105,105,Delayed
D0002831,S015,C0064,2024-02-28,2024-03-28,2024-03-28,12176,12176,On-Time
D0009599,S003,C0239,2024-02-28,2024-03-20,2024-03-20,556,556,On-Time
D0002723,S005,C0062,2024-02-28,2024-03-21,2024-03-21,25150,25150,On-Time
D0002507,S003,C0058,2024-02-28,2024-03-31,2024-03-31,12977,12977,On-Time
D0007814,S003,C0190,2024-02-28,2024-04-25,2024-04-26,99,99,Delayed
D0006636,S009,C0157,2024-02-28,2024-03-28,2024-03-28,33610,33610,On-Time
D0002283,S016,C0054,2024-02-28,2024-04-03,2024-04-03,21434,21434,On-Time
D0001590,S006,C0041,2024-02-28,2024-04-08,2024-04-08,2926,2926,On-Time
D0002950,S020,C0066,2024-02-28,2024-04-04,2024-04-05,13900,13900,Delayed
D0006310,S003,C0151,2024-02-28,2024-04-05,2024-04-05,10305,10305,On-Time
D0001380,S001,C0037,2024-02-28,2024-04-20,,1823,1823,Unknown
D0003504,S018,C0077,2024-02-28,2024-04-03,2024-04-03,16395,16395,On-Time
D0000993,S009,C0029,2024-02-28,2024-04-08,2024-04-09,13810,13810,Delayed
D0000072,S003,C0005,2024-02-28,2024-04-07,2024-04-08,68,68,Delayed
D0006162,S009,C0147,2024-02-28,2024-05-26,2024-05-27,1868,1868,Delayed
D0000153,S004,C0009,2024-02-28,2024-05-02,2024-05-02,83,83,On-Time
D0000801,S010,C0025,2024-02-28,2024-04-13,2024-04-13,2407,2407,On-Time
D0003357,S008,C0074,2024-02-28,2024-04-11,2024-04-11,14389,14389,On-Time
D0008084,S002,C0198,2024-02-28,2024-03-23,2024-03-23,21503,21503,On-Time
D0006364,S011,C0152,2024-02-28,2024-03-21,2024-03-21,21027,21027,On-Time
D0001239,S019,C0034,2024-02-28,2024-04-01,2024-04-01,2704,2704,On-Time
D0001042,S010,C0030,2024-02-28,2024-04-08,2024-04-08,2313,2313,On-Time
D0003848,S011,C0084,2024-02-28,2024-04-18,2024-04-18,11833,11833,On-Time
D0009477,S012,C0235,2024-02-28,2024-04-12,2024-04-12,583,583,On-Time
D0005037,S010,C0114,2024-02-28,2024-04-27,2024-04-27,2179,2179,On-Time
D0008292,S015,C0203,2024-02-28,2024-03-25,2024-03-25,23302,23302,On-Time
D0007994,S005,C0196,2024-02-28,2024-03-30,2024-03-30,14608,14608,On-Time
D0003945,S001,C0086,2024-02-29,2024-03-21,2024-03-22,6960,6960,Delayed
D0008409,S015,C0206,2024-02-29,2024-03-28,2024-03-28,8533,8533,On-Time
D0004593,S008,C0102,2024-02-29,2024-04-04,2024-04-04,1956,1956,On-Time
D0009392,S020,C0232,2024-02-29,2024-04-07,2024-04-08,184,184,Delayed
D0005240,S018,C0120,2024-02-29,2024-05-02,2024-05-11,1382,1382,Delayed
D0007862,S019,C0193,2024-02-29,2024-03-21,2024-03-22,17517,17517,Delayed
D0005988,S016,C0142,2024-02-29,2024-04-28,2024-04-29,1723,1723,Delayed
D0003902,S017,C0085,2024-02-29,2024-03-25,2024-03-25,17764,17764,On-Time
D0008040,S016,C0197,2024-02-29,2024-03-24,2024-03-26,14667,14667,Delayed
D0008853,S009,C0216,2024-02-29,2024-03-31,2024-03-31,33273,33273,On-Time
D0006264,S008,C0150,2024-02-29,2024-04-12,2024-04-28,58622,50401,Delayed
D0000851,S019,C0026,2024-02-29,2024-04-20,2024-04-20,5861,5861,On-Time
D0001748,S003,C0044,2024-02-29,2024-04-02,2024-04-04,4737,4737,Delayed
D0000551,S013,C0020,2024-02-29,2024-04-22,2024-04-24,4333,4333,Delayed
D0003009,S005,C0067,2024-02-29,2024-03-25,2024-03-25,6503,6503,On-Time
D0001186,S013,C0033,2024-02-29,2024-04-08,2024-04-08,3866,3866,On-Time
D0004784,S007,C0107,2024-02-29,2024-03-31,2024-03-31,2740,2740,On-Time
D0001287,S010,C0035,2024-02-29,2024-04-04,2024-04-04,1484,1484,On-Time
D0007349,S007,C0170,2024-02-29,2024-03-23,2024-03-23,16996,16996,On-Time
D0000947,S011,C0028,2024-03-01,2024-04-22,2024-04-22,2508,2508,On-Time
D0005103,S011,C0116,2024-03-01,2024-04-08,2024-04-09,1205,1205,Delayed
D0003801,S005,C0083,2024-03-01,2024-04-11,2024-04-12,10177,10177,Delayed
D0002012,S005,C0049,2024-03-01,2024-03-26,2024-03-27,4352,4352,Delayed
D0007465,S012,C0172,2024-03-01,2024-04-05,,19689,19689,Unknown
D0005269,S018,C0121,2024-03-01,2024-05-12,2024-05-12,2496,2496,On-Time
D0009626,S013,C0240,2024-03-01,2024-04-25,2024-04-25,323,323,On-Time
D0004127,S005,C0090,2024-03-01,2024-03-23,,13331,13331,Unknown
D0008216,S002,C0201,2024-03-01,2024-03-17,2024-03-17,23915,23915,On-Time
D0009511,S009,C0236,2024-03-01,2024-03-20,2024-03-21,493,493,Delayed
D0001914,S009,C0047,2024-03-01,2024-04-08,2024-04-08,9158,9158,On-Time
D0004218,S003,C0092,2024-03-01,2024-04-12,2024-04-13,1426,1426,Delayed
D0009093,S019,C0222,2024-03-01,2024-03-22,2024-03-22,21255,21255,On-Time
D0006683,S011,C0158,2024-03-01,2024-03-28,2024-03-28,17415,17415,On-Time
D0002450,S019,C0057,2024-03-01,2024-04-07,2024-04-07,6347,6347,On-Time
D0002894,S001,C0065,2024-03-01,2024-04-10,2024-04-11,17466,17466,Delayed
D0000002,S018,C0001,2024-03-01,2024-05-15,2024-05-15,22,22,On-Time
D0003309,S007,C0073,2024-03-01,2024-04-05,2024-04-05,12902,12902,On-Time
D0004669,S011,C0104,2024-03-01,2024-04-10,2024-04-10,2987,2987,On-Time
D0002615,S001,C0060,2024-03-01,2024-03-25,2024-03-26,19337,19337,Delayed
D0000752,S003,C0024,2024-03-01,2024-04-03,2024-04-05,3949,3949,Delayed
D0007235,S016,C0168,2024-03-01,2024-04-01,2024-04-01,21986,21986,On-Time
D0008936,S001,C0218,2024-03-01,2024-03-18,2024-03-19,5780,5780,Delayed
D0005949,S010,C0141,2024-03-01,2024-04-13,2024-04-13,1030,1030,On-Time
D0009165,S013,C0224,2024-03-01,2024-04-01,2024-04-02,909,909,Delayed
D0008670,S012,C0212,2024-03-01,2024-03-16,2024-03-16,13222,13222,On-Time
D0003068,S012,C0068,2024-03-01,2024-03-27,2024-03-28,8056,8056,Delayed
D0006791,S004,C0160,2024-03-01,2024-04-09,2024-04-23,13606,13606,Delayed
D0003802,S006,C0083,2024-03-04,2024-04-09,2024-04-09,12990,12990,On-Time
D0001915,S020,C0047,2024-03-04,2024-04-10,2024-04-10,14254,13969,Partial
D0001489,S011,C0039,2024-03-04,2024-04-11,2024-04-12,1813,1813,Delayed
D0007350,S008,C0170,2024-03-04,2024-03-30,2024-03-31,10667,10667,Delayed
D0000852,S013,C0026,2024-03-04,2024-04-24,2024-04-24,12013,12013,On-Time
D0005038,S003,C0114,2024-03-04,2024-05-03,2024-05-04,1493,1493,Delayed
D0004785,S011,C0107,2024-03-04,2024-04-07,2024-04-07,1076,1076,On-Time
D0009423,S003,C0233,2024-03-04,2024-04-12,2024-04-14,192,192,Delayed
D0004860,S001,C0109,2024-03-04,2024-04-23,2024-04-24,4899,4899,Delayed
D0005104,S005,C0116,2024-03-04,2024-04-11,2024-04-12,3969,3969,Delayed
D0004402,S006,C0097,2024-03-04,2024-04-20,2024-04-21,15154,15154,Delayed
D0001749,S014,C0044,2024-03-04,2024-04-05,2024-04-06,13823,10612,Delayed
D0002122,S007,C0051,2024-03-04,2024-03-27,2024-03-27,20615,20615,On-Time
D0000597,S012,C0021,2024-03-04,2024-04-10,2024-04-11,5921,5921,Delayed
D0000345,S017,C0016,2024-03-04,2024-04-07,2024-04-07,4145,4145,On-Time
D0001591,S002,C0041,2024-03-04,2024-04-16,2024-04-16,2653,2653,On-Time
D0001639,S011,C0042,2024-03-04,2024-04-02,2024-04-03,4112,4112,Delayed
D0002284,S008,C0054,2024-03-04,2024-04-11,2024-04-11,14498,14498,On-Time
D0002562,S018,C0059,2024-03-04,2024-04-13,2024-04-13,20777,20777,On-Time
D0005337,S011,C0123,2024-03-04,2024-04-02,2024-04-02,2177,2177,On-Time
D0001381,S005,C0037,2024-03-04,2024-04-19,2024-04-19,3640,3640,On-Time
D0006684,S010,C0158,2024-03-04,2024-04-06,2024-04-06,26049,26049,On-Time
D0000802,S020,C0025,2024-03-04,2024-04-16,2024-04-16,2859,2859,On-Time
D0002951,S019,C0066,2024-03-04,2024-04-08,2024-04-08,16529,16529,On-Time
D0001138,S004,C0032,2024-03-04,2024-04-01,2024-04-01,13739,13739,On-Time
D0004670,S015,C0104,2024-03-04,2024-04-12,2024-04-12,3199,3199,On-Time
D0009141,S008,C0223,2024-03-04,2024-04-29,2024-04-30,569,569,Delayed
D0005170,S016,C0118,2024-03-05,2024-04-30,2024-05-01,1902,1902,Delayed
D0002177,S009,C0052,2024-03-05,2024-04-05,2024-04-05,10108,10108,On-Time
D0003989,S019,C0087,2024-03-05,2024-04-13,2024-04-13,7049,7049,On-Time
D0007293,S010,C0169,2024-03-05,2024-03-31,2024-03-31,32151,32151,On-Time
D0008893,S002,C0217,2024-03-05,2024-04-14,2024-04-14,20205,20205,On-Time
D0002724,S016,C0062,2024-03-05,2024-03-28,,9670,9670,Unknown
D0006228,S004,C0149,2024-03-05,2024-04-10,2024-04-10,3056,3056,On-Time
D0008546,S009,C0209,2024-03-05,2024-03-23,2024-03-26,29319,29319,Delayed
D0003700,S010,C0081,2024-03-05,2024-04-11,,8253,6833,Unknown
D0007519,S004,C0173,2024-03-05,2024-04-05,2024-04-05,38513,38513,On-Time
D0008587,S012,C0210,2024-03-05,2024-03-31,2024-03-31,11751,11751,On-Time
D0000501,S015,C0019,2024-03-05,2024-04-20,2024-04-20,2691,2691,On-Time
D0005004,S007,C0113,2024-03-05,2024-03-31,2024-03-31,711,711,On-Time
D0006311,S010,C0151,2024-03-05,2024-04-11,2024-04-12,20912,20912,Delayed
D0006532,S020,C0155,2024-03-05,2024-03-29,2024-03-29,13207,10077,Partial
D0008499,S005,C0208,2024-03-05,2024-03-24,2024-03-24,7384,7384,On-Time
D0006899,S015,C0162,2024-03-05,2024-04-04,2024-04-04,18291,18291,On-Time
D0006025,S017,C0143,2024-03-05,2024-05-10,2024-05-10,1394,1394,On-Time
D0006959,S016,C0163,2024-03-05,2024-03-31,2024-03-31,27693,24120,Partial
D0002616,S018,C0060,2024-03-05,2024-03-29,2024-03-29,8322,8322,On-Time
D0000168,S005,C0010,2024-03-05,2024-04-04,2024-04-04,46,46,On-Time
D0001288,S013,C0035,2024-03-05,2024-04-14,2024-04-14,4125,4125,On-Time
D0009225,S011,C0226,2024-03-06,2024-05-10,2024-05-10,198,198,On-Time
D0002013,S004,C0049,2024-03-06,2024-04-01,2024-04-01,8295,8295,On-Time
D0001532,S006,C0040,2024-03-06,2024-04-26,2024-05-09,1295,1295,Delayed
D0004079,S006,C0089,2024-03-06,2024-04-06,2024-04-06,4883,4883,On-Time
D0006844,S001,C0161,2024-03-06,2024-03-26,2024-03-27,18885,18885,Delayed
D0003602,S003,C0079,2024-03-06,2024-04-14,2024-04-14,6838,6838,On-Time
D0000753,S008,C0024,2024-03-06,2024-04-09,2024-04-10,3101,3101,Delayed
D0008126,S004,C0199,2024-03-06,2024-03-26,2024-03-26,12306,12306,On-Time
D0003259,S006,C0072,2024-03-06,2024-04-26,2024-04-26,4055,4055,On-Time
D0001434,S020,C0038,2024-03-06,2024-04-09,2024-04-09,4563,4563,On-Time
D0007121,S013,C0166,2024-03-06,2024-04-08,2024-04-08,23115,23115,On-Time
D0003166,S015,C0070,2024-03-06,2024-04-18,2024-04-18,3201,3201,On-Time
D0001696,S020,C0043,2024-03-06,2024-04-16,2024-04-16,6412,6412,On-Time
D0000240,S017,C0014,2024-03-06,2024-04-10,2024-04-10,13036,13036,On-Time
D0006738,S016,C0159,2024-03-07,2024-04-14,2024-04-14,3935,3935,On-Time
D0005473,S015,C0127,2024-03-07,2024-05-02,,2190,2190,Unknown
D0006092,S016,C0145,2024-03-07,2024-05-01,2024-05-02,2285,2285,Delayed
D0002067,S017,C0050,2024-03-07,2024-03-27,2024-03-27,14907,14907,On-Time
D0004254,S005,C0093,2024-03-07,2024-04-17,2024-04-18,3568,3568,Delayed
D0006477,S018,C0154,2024-03-07,2024-04-30,2024-04-30,18822,18822,On-Time
D0007404,S020,C0171,2024-03-07,2024-04-11,2024-04-11,27916,27916,On-Time
D0004713,S016,C0105,2024-03-07,2024-04-12,2024-04-13,2422,2422,Delayed
D0006792,S014,C0160,2024-03-07,2024-04-16,2024-04-17,23206,23206,Delayed
D0008761,S012,C0214,2024-03-07,2024-04-03,2024-04-05,37883,37883,Delayed
D0005800,S003,C0137,2024-03-07,2024-05-06,2024-05-06,2385,2385,On-Time
D0007067,S008,C0165,2024-03-07,2024-04-18,2024-04-18,29998,29998,On-Time
D0002508,S005,C0058,2024-03-07,2024-04-08,2024-04-09,9054,9054,Delayed
