month,component_id,actual_units,actual_issued
2025-04,C0016,24556,19174
2025-05,C0016,25566,19901
2025-06,C0016,25186,19171
2025-07,C0016,25943,20177
2025-08,C0016,27022,20159
2025-09,C0016,26772,19906
2025-10,C0016,27173,21181
2025-11,C0016,7183,5754
2024-02,C0017,8141,7764
2024-03,C0017,29620,23761
2024-04,C0017,28078,21400
2024-05,C0017,26779,20909
2024-06,C0017,26953,20878
2024-07,C0017,27990,21967
2024-08,C0017,27015,21084
2024-09,C0017,27604,20792
2024-10,C0017,27464,21579
2024-11,C0017,27721,21225
2024-12,C0017,28344,21599
2025-01,C0017,29373,22301
2025-02,C0017,25210,19749
2025-03,C0017,26828,21040
2025-04,C0017,27227,21080
2025-05,C0017,27572,21645
2025-06,C0017,30090,22571
2025-07,C0017,29776,23021
2025-08,C0017,29347,22336
2025-09,C0017,26561,20505
2025-10,C0017,29807,22839
2025-11,C0017,9010,6519
2024-02,C0018,6591,6191
2024-03,C0018,22944,18356
2024-04,C0018,21165,16547
2024-05,C0018,22075,16685
2024-06,C0018,20762,16314
2024-07,C0018,21392,16800
2024-08,C0018,22325,17562
2024-09,C0018,20761,16332
2024-10,C0018,21824,17081
2024-11,C0018,22197,17432
2024-12,C0018,21871,16872
2025-01,C0018,22204,16791
2025-02,C0018,19307,14871
2025-03,C0018,21852,17039
2025-04,C0018,20965,16048
2025-05,C0018,21629,16810
2025-06,C0018,21232,16416
2025-07,C0018,22793,17727
2025-08,C0018,21641,16546
2025-09,C0018,23153,17272
2025-10,C0018,23049,17562
2025-11,C0018,6479,5112
2024-02,C0019,6906,6636
2024-03,C0019,20891,17147
2024-04,C0019,21077,16656
2024-05,C0019,22134,17951
2024-06,C0019,21500,16723
2024-07,C0019,21689,16848
2024-08,C0019,22592,17304
2024-09,C0019,21333,16681
2024-10,C0019,24629,18696
2024-11,C0019,22223,16515
2024-12,C0019,21364,16674
2025-01,C0019,22363,17598
2025-02,C0019,21124,16277
2025-03,C0019,21307,16768
2025-04,C0019,21246,16546
2025-05,C0019,22807,17619
2025-06,C0019,21483,16967
2025-07,C0019,23474,17657
2025-08,C0019,22523,17778
2025-09,C0019,23301,17872
2025-10,C0019,21287,16685
2025-11,C0019,6786,4852
2024-02,C0020,7772,7463
2024-03,C0020,28869,22988
2024-04,C0020,25545,19974
2024-05,C0020,27580,21660
2024-06,C0020,27240,21313
2024-07,C0020,28276,21797
2024-08,C0020,27651,20817
2024-09,C0020,26687,20931
2024-10,C0020,27380,20862
2024-11,C0020,28223,20543
2024-12,C0020,27266,21385
2025-01,C0020,25632,20049
2025-02,C0020,25063,19286
2025-03,C0020,26271,20618
2025-04,C0020,26360,20259
2025-05,C0020,26882,20574
2025-06,C0020,26208,20456
2025-07,C0020,30016,23425
2025-08,C0020,27036,21070
2025-09,C0020,25089,19771
2025-10,C0020,26181,20185
2025-11,C0020,8345,5977
2024-02,C0021,5866,5211
2024-03,C0021,17066,13651
2024-04,C0021,17013,13314
2024-05,C0021,19954,15484
2024-06,C0021,19143,15000
2024-07,C0021,17643,13984
2024-08,C0021,17907,13851
2024-09,C0021,16863,13455
2024-10,C0021,16474,14372
2024-11,C0021,17030,13344
2024-12,C0021,18401,14096
2025-01,C0021,18216,13998
2025-02,C0021,16589,12476
2025-03,C0021,18000,13855
2025-04,C0021,17948,13396
2025-05,C0021,17456,13484
2025-06,C0021,18641,14167
2025-07,C0021,18067,14122
2025-08,C0021,18246,14037
2025-09,C0021,17606,13582
2025-10,C0021,19481,14838
2025-11,C0021,5312,4124
2024-02,C0022,4100,3851
2024-03,C0022,13648,10999
2024-04,C0022,14422,11347
2024-05,C0022,15685,12256
2024-06,C0022,12798,10896
2024-07,C0022,11226,10804
2024-08,C0022,12065,11309
2024-09,C0022,11293,10695
2024-10,C0022,13084,12032
2024-11,C0022,11757,10639
2024-12,C0022,12081,11452
2025-01,C0022,11579,10964
2025-02,C0022,10653,9955
2025-03,C0022,12038,11117
2025-04,C0022,11809,10666
2025-05,C0022,12223,11186
2025-06,C0022,11576,10735
2025-07,C0022,12702,11547
2025-08,C0022,11852,11008
2025-09,C0022,11933,11122
2025-10,C0022,11524,10858
2025-11,C0022,4402,3418
2024-02,C0023,7412,6942
2024-03,C0023,24211,19214
2024-04,C0023,24361,18745
2024-05,C0023,25927,19403
2024-06,C0023,25028,19509
2024-07,C0023,26575,20915
2024-08,C0023,26831,20485
2024-09,C0023,25597,19718
2024-10,C0023,25870,19547
2024-11,C0023,27562,20921
2024-12,C0023,27155,20661
2025-01,C0023,25458,19730
2025-02,C0023,21755,16962
2025-03,C0023,25225,19548
2025-04,C0023,24130,19006
2025-05,C0023,25416,19896
2025-06,C0023,25046,19669
2025-07,C0023,28789,22517
2025-08,C0023,24828,19417
2025-09,C0023,23097,18021
2025-10,C0023,25791,19313
2025-11,C0023,7781,5814
2024-02,C0024,5457,5134
2024-03,C0024,17926,14779
2024-04,C0024,20821,16413
2024-05,C0024,19632,15141
2024-06,C0024,15790,14675
2024-07,C0024,15817,14584
2024-08,C0024,16397,15045
2024-09,C0024,15536,14135
2024-10,C0024,16702,14393
2024-11,C0024,18068,14588
2024-12,C0024,20499,15674
2025-01,C0024,18991,14653
2025-02,C0024,17710,13820
2025-03,C0024,20133,15466
2025-04,C0024,18538,14405
2025-05,C0024,18897,14777
2025-06,C0024,18521,14211
2025-07,C0024,20528,15775
2025-08,C0024,18853,14508
2025-09,C0024,20269,15933
2025-10,C0024,22707,16473
2025-11,C0024,5666,4311
2024-02,C0025,3610,3260
2024-03,C0025,11005,9220
2024-04,C0025,11606,9095
2024-05,C0025,9976,9308
2024-06,C0025,10389,9795
2024-07,C0025,10765,10269
2024-08,C0025,10107,9549
2024-09,C0025,9641,9112
2024-10,C0025,9669,9103
2024-11,C0025,9603,8767
2024-12,C0025,9755,9087
2025-01,C0025,10000,9070
2025-02,C0025,8801,8242
2025-03,C0025,10946,9362
2025-04,C0025,9683,9028
2025-05,C0025,9663,9042
2025-06,C0025,10514,9951
2025-07,C0025,9632,9170
2025-08,C0025,9936,9007
2025-09,C0025,9431,8992
2025-10,C0025,11497,10378
2025-11,C0025,3385,3158
2024-02,C0026,5487,5131
2024-03,C0026,17780,13830
2024-04,C0026,18249,14313
2024-05,C0026,18844,14835
2024-06,C0026,19527,15193
2024-07,C0026,18117,14172
2024-08,C0026,19885,14899
2024-09,C0026,17458,13732
2024-10,C0026,17886,14021
2024-11,C0026,19443,15014
2024-12,C0026,18714,14116
2025-01,C0026,18709,14479
2025-02,C0026,16668,12851
2025-03,C0026,20023,15426
2025-04,C0026,17488,13698
2025-05,C0026,18182,14085
2025-06,C0026,18239,13462
2025-07,C0026,18126,14341
2025-08,C0026,19169,14282
2025-09,C0026,17423,13592
2025-10,C0026,17474,13662
2025-11,C0026,5108,4102
2024-02,C0027,6409,5661
2024-03,C0027,20943,16614
2024-04,C0027,20932,16460
2024-05,C0027,20881,15803
2024-06,C0027,21089,14966
2024-07,C0027,20254,15805
2024-08,C0027,20384,16023
2024-09,C0027,20269,15701
2024-10,C0027,20048,15655
2024-11,C0027,19941,15508
2024-12,C0027,20877,16115
2025-01,C0027,20127,15842
2025-02,C0027,18760,14679
2025-03,C0027,21508,16500
2025-04,C0027,20148,15761
2025-05,C0027,21437,16849
2025-06,C0027,20479,15668
2025-07,C0027,19662,15452
2025-08,C0027,20279,15780
2025-09,C0027,21270,16665
2025-10,C0027,21228,15879
2025-11,C0027,5578,4411
2024-02,C0028,5329,5137
2024-03,C0028,15296,12514
2024-04,C0028,15496,12110
2024-05,C0028,17096,13155
2024-06,C0028,15721,12274
2024-07,C0028,15802,12352
2024-08,C0028,17807,13133
2024-09,C0028,15695,12231
2024-10,C0028,17483,13308
2024-11,C0028,15091,11869
2024-12,C0028,16550,12399
2025-01,C0028,16035,12547
2025-02,C0028,15335,11938
2025-03,C0028,15628,12319
2025-04,C0028,16517,12331
2025-05,C0028,17931,13364
2025-06,C0028,16353,12843
2025-07,C0028,16284,12766
2025-08,C0028,16289,12800
2025-09,C0028,16580,13092
2025-10,C0028,15938,12591
2025-11,C0028,4670,3626
2024-02,C0029,4309,4044
2024-03,C0029,15245,11852
2024-04,C0029,13862,10959
2024-05,C0029,14343,11189
2024-06,C0029,13908,11523
2024-07,C0029,13930,12442
2024-08,C0029,11707,10935
2024-09,C0029,11773,10780
2024-10,C0029,11452,10956
2024-11,C0029,11457,10904
2024-12,C0029,12306,11248
2025-01,C0029,11955,11091
2025-02,C0029,11127,10618
2025-03,C0029,12879,11821
2025-04,C0029,11184,10410
2025-05,C0029,13051,12138
2025-06,C0029,11699,10942
2025-07,C0029,11746,11160
2025-08,C0029,12210,11168
2025-09,C0029,12085,11477
2025-10,C0029,14639,11297
2025-11,C0029,4219,3306
2024-02,C0030,6470,6139
2024-03,C0030,23574,18871
2024-04,C0030,21803,17092
2024-05,C0030,25778,20338
2024-06,C0030,21022,16603
2024-07,C0030,23530,17980
2024-08,C0030,22873,17379
2024-09,C0030,21635,16746
2024-10,C0030,23277,18294
2024-11,C0030,22849,17797
2024-12,C0030,24015,18693
2025-01,C0030,25994,20169
2025-02,C0030,20076,15718
2025-03,C0030,22377,17205
2025-04,C0030,24694,18696
2025-05,C0030,22816,17989
2025-06,C0030,24109,18298
2025-07,C0030,23101,17820
2025-08,C0030,23927,18284
2025-09,C0030,23565,17769
2025-10,C0030,24916,18853
2025-11,C0030,6820,5362
2024-02,C0031,8204,7746
2024-03,C0031,28203,22689
2024-04,C0031,27026,21051
2024-05,C0031,27825,21937
2024-06,C0031,29335,21789
2024-07,C0031,29026,22408
2024-08,C0031,28741,22023
2024-09,C0031,27128,20635
2024-10,C0031,27965,21318
2024-11,C0031,29043,21801
2024-12,C0031,26865,20659
2025-01,C0031,28956,22479
2025-02,C0031,25309,19833
2025-03,C0031,28737,22313
2025-04,C0031,28468,22000
2025-05,C0031,29113,22693
2025-06,C0031,30191,23501
2025-07,C0031,27536,21187
2025-08,C0031,26774,21003
2025-09,C0031,29262,22706
2025-10,C0031,28476,21906
2025-11,C0031,7456,5916
2024-02,C0032,6529,5951
2024-03,C0032,20776,17114
2024-04,C0032,17961,16381
2024-05,C0032,21899,16901
2024-06,C0032,20996,16169
2024-07,C0032,22476,17049
2024-08,C0032,21799,17026
2024-09,C0032,22187,16761
2024-10,C0032,21606,16519
2024-11,C0032,21814,17247
2024-12,C0032,22487,17472
2025-01,C0032,21307,16752
2025-02,C0032,19974,14919
2025-03,C0032,20942,16055
2025-04,C0032,21453,16687
2025-05,C0032,23046,17689
2025-06,C0032,21273,16345
2025-07,C0032,22088,17008
2025-08,C0032,21755,17037
2025-09,C0032,20940,16295
2025-10,C0032,21989,16793
2025-11,C0032,6725,5202
2024-02,C0033,5280,5066
2024-03,C0033,17878,14585
2024-04,C0033,18493,14495
2024-05,C0033,18514,14320
2024-06,C0033,19056,14269
2024-07,C0033,18425,14256
2024-08,C0033,18405,14399
2024-09,C0033,17951,13742
2024-10,C0033,19000,14763
2024-11,C0033,19176,14348
2024-12,C0033,20038,15357
2025-01,C0033,19707,15146
2025-02,C0033,16691,13008
2025-03,C0033,18279,14412
2025-04,C0033,19359,15026
2025-05,C0033,18903,14327
2025-06,C0033,18255,13991
2025-07,C0033,19517,14928
2025-08,C0033,19011,14897
2025-09,C0033,18009,14011
2025-10,C0033,19655,15001
2025-11,C0033,5223,4056
2024-02,C0034,7162,6753
2024-03,C0034,24669,19794
2024-04,C0034,23833,18641
2024-05,C0034,27691,21512
2024-06,C0034,24212,19205
2024-07,C0034,26838,20608
2024-08,C0034,25141,19003
2024-09,C0034,23464,18277
2024-10,C0034,26160,20451
2024-11,C0034,23578,18364
2024-12,C0034,25966,20036
2025-01,C0034,25069,19128
2025-02,C0034,22862,17981
2025-03,C0034,24759,19085
2025-04,C0034,24670,18405
2025-05,C0034,25579,19995
2025-06,C0034,24343,18969
2025-07,C0034,25115,19358
2025-08,C0034,26495,19429
2025-09,C0034,24723,19064
2025-10,C0034,25757,20297
2025-11,C0034,7042,5514
2024-02,C0035,8326,7993
2024-03,C0035,28310,22585
2024-04,C0035,25351,19982
2024-05,C0035,27639,21253
2024-06,C0035,26391,20808
2024-07,C0035,29236,22992
2024-08,C0035,27289,20700
2024-09,C0035,26010,20263
2024-10,C0035,27712,21116
2024-11,C0035,26946,20846
2024-12,C0035,28331,21535
2025-01,C0035,27069,21087
2025-02,C0035,23657,18496
2025-03,C0035,28644,21563
2025-04,C0035,26323,19985
2025-05,C0035,27101,20909
2025-06,C0035,27006,20723
2025-07,C0035,29272,22744
2025-08,C0035,26466,20682
2025-09,C0035,26188,20421
2025-10,C0035,28187,21219
2025-11,C0035,7457,5757
2024-02,C0036,6568,6251
2024-03,C0036,22754,17317
2024-04,C0036,20121,15718
2024-05,C0036,21608,16460
2024-06,C0036,20990,16476
2024-07,C0036,21063,16376
2024-08,C0036,21383,16491
2024-09,C0036,22016,17341
2024-10,C0036,21379,16609
2024-11,C0036,21612,16990
2024-12,C0036,22133,17020
2025-01,C0036,22547,17753
2025-02,C0036,20474,15884
2025-03,C0036,21545,16727
2025-04,C0036,20992,16031
2025-05,C0036,22421,17428
2025-06,C0036,21371,16943
2025-07,C0036,21967,16203
2025-08,C0036,21201,16570
2025-09,C0036,20842,16066
2025-10,C0036,21629,16495
2025-11,C0036,6248,4422
2024-02,C0037,7918,7055
2024-03,C0037,27792,22244
2024-04,C0037,25755,19853
2024-05,C0037,26347,20878
2024-06,C0037,25857,19760
2024-07,C0037,26088,20312
2024-08,C0037,26984,21067
2024-09,C0037,25064,19570
2024-10,C0037,25392,19928
2024-11,C0037,25822,19709
2024-12,C0037,27358,21469
2025-01,C0037,26099,20119
2025-02,C0037,24976,19264
2025-03,C0037,26554,20265
2025-04,C0037,26242,20416
2025-05,C0037,25281,19976
2025-06,C0037,25464,19434
2025-07,C0037,27364,21526
2025-08,C0037,26667,21093
2025-09,C0037,28267,21504
2025-10,C0037,26885,20109
2025-11,C0037,7612,5910
2024-02,C0038,8531,7820
2024-03,C0038,27041,22486
2024-04,C0038,28777,21899
2024-05,C0038,33230,24717
2024-06,C0038,27522,21387
2024-07,C0038,30018,23550
2024-08,C0038,29872,23017
2024-09,C0038,27987,21981
2024-10,C0038,31840,24885
2024-11,C0038,28968,22554
2024-12,C0038,28697,21670
2025-01,C0038,30093,23417
2025-02,C0038,25341,19801
2025-03,C0038,31817,23303
2025-04,C0038,27992,21937
2025-05,C0038,28364,22125
2025-06,C0038,29041,22256
2025-07,C0038,28658,22118
2025-08,C0038,28605,22421
2025-09,C0038,27610,21432
2025-10,C0038,28715,22553
2025-11,C0038,8966,6789
2024-02,C0039,7073,6622
2024-03,C0039,21974,17264
2024-04,C0039,20380,15400
2024-05,C0039,22665,17432
2024-06,C0039,21274,16658
2024-07,C0039,21580,16636
2024-08,C0039,22371,17480
2024-09,C0039,20816,16399
2024-10,C0039,22245,17099
2024-11,C0039,20953,16496
2024-12,C0039,21949,17199
2025-01,C0039,24309,18959
2025-02,C0039,19898,15180
2025-03,C0039,22147,17206
2025-04,C0039,21224,16162
2025-05,C0039,21187,16617
2025-06,C0039,22825,17542
2025-07,C0039,21055,16281
2025-08,C0039,23726,18240
2025-09,C0039,22337,17050
2025-10,C0039,23958,18227
2025-11,C0039,7178,4983
2024-02,C0040,4989,4804
2024-03,C0040,17326,14232
2024-04,C0040,18819,14680
2024-05,C0040,17680,13781
2024-06,C0040,17451,13483
2024-07,C0040,18881,14353
2024-08,C0040,17913,14009
2024-09,C0040,19278,14681
2024-10,C0040,18524,14333
2024-11,C0040,17881,13839
2024-12,C0040,18159,14124
2025-01,C0040,20678,16150
2025-02,C0040,16730,12677
2025-03,C0040,18406,14487
2025-04,C0040,17636,13519
2025-05,C0040,18926,14776
2025-06,C0040,19272,15105
2025-07,C0040,18371,13929
2025-08,C0040,18471,14614
2025-09,C0040,17982,14029
2025-10,C0040,17576,13727
2025-11,C0040,5150,4013
2024-02,C0041,7103,6606
2024-03,C0041,22834,18819
2024-04,C0041,25434,19707
2024-05,C0041,27470,21488
2024-06,C0041,23758,18819
2024-07,C0041,25458,19781
2024-08,C0041,24498,18934
2024-09,C0041,23885,18647
2024-10,C0041,25608,19758
2024-11,C0041,24293,18724
2024-12,C0041,26029,19742
2025-01,C0041,27979,21024
2025-02,C0041,23531,17813
2025-03,C0041,24505,19244
2025-04,C0041,24309,18846
2025-05,C0041,25186,19539
2025-06,C0041,25056,19465
2025-07,C0041,25729,19822
2025-08,C0041,24621,19276
2025-09,C0041,25292,19266
2025-10,C0041,26297,20211
2025-11,C0041,7291,5690
2024-02,C0042,7299,6880
2024-03,C0042,23117,18906
2024-04,C0042,23810,18427
2024-05,C0042,25845,19824
2024-06,C0042,26209,20465
2024-07,C0042,25694,20147
2024-08,C0042,24365,19044
2024-09,C0042,24856,18562
2024-10,C0042,25377,18466
2024-11,C0042,25449,19758
2024-12,C0042,25504,19335
2025-01,C0042,24261,18677
2025-02,C0042,22889,17932
2025-03,C0042,25057,18959
2025-04,C0042,23851,18570
2025-05,C0042,25295,19847
2025-06,C0042,23740,18519
2025-07,C0042,23577,18336
2025-08,C0042,24644,19386
2025-09,C0042,25051,18607
2025-10,C0042,24887,19451
2025-11,C0042,6588,5163
2024-02,C0043,8910,8305
2024-03,C0043,28369,22683
2024-04,C0043,30402,23262
2024-05,C0043,32704,24088
2024-06,C0043,27329,21181
2024-07,C0043,29291,22580
2024-08,C0043,31333,23319
2024-09,C0043,29240,23118
2024-10,C0043,29864,23140
2024-11,C0043,30351,23212
2024-12,C0043,29752,22297
2025-01,C0043,29518,22436
2025-02,C0043,26717,20812
2025-03,C0043,31787,24801
2025-04,C0043,27765,21663
2025-05,C0043,30513,23483
2025-06,C0043,28557,22322
2025-07,C0043,28983,22235
2025-08,C0043,27793,21718
2025-09,C0043,28146,21946
2025-10,C0043,28897,22575
2025-11,C0043,10082,7807
2024-02,C0044,15795,14957
2024-03,C0044,45108,36294
2024-04,C0044,47650,36740
2024-05,C0044,44470,34835
2024-06,C0044,36671,34171
2024-07,C0044,41373,36888
2024-08,C0044,39033,36512
2024-09,C0044,38800,35692
2024-10,C0044,38770,35870
2024-11,C0044,38053,35401
2024-12,C0044,40852,38653
2025-01,C0044,39280,36615
2025-02,C0044,37015,33886
2025-03,C0044,46293,43534
2025-04,C0044,37136,33529
2025-05,C0044,39836,36345
2025-06,C0044,38601,35566
2025-07,C0044,37989,35251
2025-08,C0044,38159,35772
2025-09,C0044,39629,35303
2025-10,C0044,42786,37547
2025-11,C0044,14430,10905
2024-02,C0045,16524,15872
